topic_id,name,description,n_emails,representative_emails
T743,Employee Availability Notices,"This topic covers notifications about employee availability, travel schedules, and contact information for reaching staff when out of the office.",13,"[""858abaafde1718f0"", ""5ceac19671942b6f"", ""f93fa658e9982948"", ""3595001877fd4e47"", ""a0f9e7ce80889257""]"
T744,Fax Number Requests,"Internal and external communications regarding the exchange, verification, and updates of fax numbers for business purposes such as invoicing and trading.",132,"[""c16fe262476db153"", ""8bbb93cac944102a"", ""f7c7fa8511034fbc"", ""05ad4767a02a888a"", ""2abbd2545c19638e""]"
T745,Mendocino Riding Planning,"Coordinating a group horse riding trip to Mendocino, including scheduling, participants, and ride preferences.",16,"[""e51967863c8dc5bf"", ""b7a0de0a69de7c25"", ""e0be43e6afb5e852"", ""db8241f7c516dbfc"", ""5d54ef72f71e7a96""]"
T746,Watch Report Development,Internal development and revision of investment watch reports and monitoring lists for executive review.,14,"[""4f83cc999a3a34a8"", ""6bc4ac4ae2033ff3"", ""b8fca18917b1ccaf"", ""46548521b545ded9"", ""528f93ab222006b4""]"
T747,Fantasy Football Transactions,Automated notifications from Commissioner.com about fantasy football player add/drop transaction requests.,48,"[""22e1dec2b589d6ac"", ""d82e87486c5482e5"", ""541e9d800b3bd2b9"", ""f87c9018c2231518"", ""0cbda7eb3956ffbc""]"
T748,Valuation Panel Organization,"Emails discussing the organization and scheduling of a panel on valuation with various business leaders, including conference call logistics and SEC-related discussions.",15,"[""a90013ad5dd8fafe"", ""44648200ca994705"", ""c4c7a666d43d0dc8"", ""80e83784347acf65"", ""34ab6eb67dad5e0e""]"
T749,Outlook Delegate Access,"Emails discussing requests for calendar and folder access permissions, including automated Microsoft Outlook delegate designation notifications.",11,"[""7877b2c2f7705db2"", ""e1b67567beb2a209"", ""89c66a8da2b30c20"", ""31459005e109eabd"", ""a46b6152fa84f9c3""]"
T750,DSL Service Issues,"Issues and inquiries related to DSL and broadband internet connectivity, including service configuration, speed problems, and economics.",65,"[""3ff2a8a64de7e453"", ""21c6143202b011c3"", ""fc23d91cb88e0b75"", ""fc8c233094897613"", ""f4f8315a6ab99c11""]"
T751,ClickAtHome Program,"This topic covers Enron's ClickAtHome initiative that provided employees with home computers, internet connections, and portal access.",27,"[""754aec66e7ce1ade"", ""247fcc6cac3da6e3"", ""6a8e8a7bfeed5ad7"", ""0774f1cf4becac0f"", ""bb7ac1e4a4097804""]"
T752,ClickAtHome Pilot Program,Internal communications about Enron's employee home computing pilot program involving Dell computer equipment distribution and coordination.,26,"[""e61406893c28bf03"", ""ea6110f258f84b3e"", ""1c9b6a6edaeae525"", ""c8c9979d7574ad1d"", ""f7b5a03bc963665c""]"
T753,IT Equipment Requests,"Emails discussing procurement, setup, and configuration of new computer equipment and mobile devices like pocket PCs and Palm Pilots.",10,"[""0456e795316e3682"", ""c80fb20a69580f02"", ""76d9fbeee945fac3"", ""db7c421f57f8d90d"", ""496dd653a4c3b936""]"
T754,Computer Purchase Program,"Discussion between Enron and Compaq representatives regarding employee computer purchase options, benefits, and related compensation or perks.",11,"[""66a03f814691c709"", ""7bc02e0fefae93b0"", ""456dbe89fbc2564d"", ""42ff36340917ee6d"", ""a3be5a34c595877d""]"
T755,Outlook Email Migration,"Urgent notification about migrating from Notes to Outlook with a 100MB mailbox limit, instructing users to clean up emails before the migration date.",37,"[""3c0843ca9e9331c3"", ""dfed87822f841ddf"", ""b95bb0c9cbed26bb"", ""4edf4f1a98df6f93"", ""1e2a619be6abff11""]"
T756,IT Equipment Orders,"This topic covers IT equipment ordering processes at Enron, including order confirmations, stock availability updates, and troubleshooting equipment installation or functionality issues.",32,"[""7f5ea25fbf035c32"", ""422ab5542ddc04fa"", ""3aa0ff951d44e052"", ""ae205269e16108a9"", ""b7ec2449914425e9""]"
T757,Windows 2000 Migration,Coordination and scheduling of Enron's Windows 2000 migration and rollout across business units.,34,"[""43eb75e7c0a94fb0"", ""2253628639663073"", ""5d95e9ea746f9735"", ""e823eb07a77e3a2d"", ""8cb3320eb1f890ef""]"
T758,Outlook Migration,"Internal communications coordinating Enron's transition to Microsoft Outlook email system, including scheduling, logistics, and password management.",10,"[""4318cd89643430eb"", ""1a48358b607efd14"", ""78c076883be74981"", ""e079a2b83bb16bd9"", ""6dfebf045a9d0f83""]"
T759,Printer Purchase Requests,"Internal communications regarding printer procurement, pricing, approval processes, and troubleshooting for office printing equipment.",31,"[""a57f7b2ddc1540f8"", ""d4f19f2078a820ec"", ""83d96b137ac3ec23"", ""f21d08309a7acb7e"", ""6a043af170cd8614""]"
T760,Monitor Requests,Internal emails discussing employee requests for flat screen monitors and related equipment approvals.,51,"[""40d6534d03c0a5cc"", ""395c883ee87d4256"", ""13b4f65989748661"", ""8008f5673bab699d"", ""9212ab98579b3dd6""]"
T761,Equipment Procurement,"This topic includes internal messages discussing the request, approval, and ordering of office equipment such as headsets, laptops, and phones.",19,"[""cfd53400cb936e54"", ""584d749f679d79b2"", ""c6ed24821e775fdf"", ""f4b9ded61e050ada"", ""01ee99b24a7c10bf""]"
T762,BC Election Analysis,Analysis and updates regarding British Columbia elections and the resulting implications for provincial energy policy.,15,"[""5aa79c93bdbeb138"", ""2c38a7d9264c5c0a"", ""0f9cbd890991ccf2"", ""5df27e82b4f9edee"", ""f306d2e6c1f1b552""]"
T763,Book Distribution Requests,Requests to send out books or documents to various energy companies and their representatives.,14,"[""17147dd918c56652"", ""c00b38ae0a3f28a7"", ""4c3a90fac2d626ec"", ""9d5439029d361aca"", ""c6e64f59a341a0c9""]"
T764,CPUC Customer Turnbacks,Email exchanges about California Public Utilities Commission inquiries concerning Enron's return of gas customers to local distribution companies.,18,"[""843f9f50ac3bb125"", ""6d0634cd9dc70245"", ""be3e3c022c9926fe"", ""3d387ee3405a9cab"", ""52381539ea3491aa""]"
T765,CalPeak Power RFP,Enron's participation in a competitive bidding process to supply natural gas to CalPeak power plants.,21,"[""f0dcb81b4c6afa37"", ""63b294dc5735d2ac"", ""77616d8abfb937ee"", ""8faa6ec4e62a5ad9"", ""622bbf496d6d7ba9""]"
T766,Trip Planning,Emails discussing travel plans and destination options between John Arnold and Eva Pao.,11,"[""a51d554bfe0b519e"", ""07bedfb314111709"", ""aae7773181faec86"", ""23ebae348231540b"", ""fb5fb9dddab0cbd9""]"
T767,Texas Alumni Communications,"Emails from Texas-based alumni associations featuring newsletters, event invitations, and membership updates.",17,"[""1c3fd2565a8e1acd"", ""c55f398850196c01"", ""22fe4884c284a5f9"", ""d17ff68aa3fd9ce7"", ""b7a31da571544db0""]"
T768,Halloween Greetings,"Emails sharing Halloween-themed content, forwarding humorous images or messages, and exchanging personal holiday greetings among colleagues.",43,"[""e9af94fb29a00a8d"", ""a57ba53be40d042b"", ""25f7462315aa79ba"", ""40cd8a826c33bf4c"", ""909a9c38f30a0cad""]"
T769,NGI Subscription Notifications,Emails notifying recipients of Natural Gas Intelligence newsletter availability and associated online access costs.,30,"[""02664659873a4fe9"", ""0d720482fe6b60a6"", ""89e240e466e432de"", ""2a8c26dddc035804"", ""8509b20628108160""]"
T770,Gallup Power Contracts,"Internal Enron communications about Gallup power avoidance data, conversion agreement pricing, and contract markup.",157,"[""273b03c6c0e8a714"", ""c3ee63a1750f6d49"", ""6bd4559508c57640"", ""adc1ea9165f6f200"", ""e0b57ee93cff45a7""]"
T771,FERC Regulatory Issues,"Internal communications discussing FERC regulatory compliance, compression services arrangements, and operational agreements for pipeline operations.",15,"[""daa8245058d6e6a5"", ""d192e04fa7d34542"", ""af757f53060495ae"", ""1f3664bb66c829ec"", ""e124b774afdc2e3a""]"
T772,Ken Rice Call,"Emails discuss coordinating a phone call with Ken Rice, exchanging contact details and scheduling meeting times.",13,"[""d8568805759b78ef"", ""4e28441970f81a02"", ""1c0ac18914da9c25"", ""fb16fd7e3a1d1a27"", ""b5b79c541638aeef""]"
T773,Suzette's Friend Networking,"Coordinating a meeting with Suzette's friend to discuss job opportunities at energy companies, sharing resume advice, and arranging a thank-you drink.",14,"[""ec2b23a7ab276e0c"", ""6d017b983cee6066"", ""71159adf5e94f728"", ""416115bde874e9dd"", ""41bcf253f9616d95""]"
T774,Enron Report Distribution,Internal emails about distributing periodic staffing and EnronOnline public reports to employees.,25,"[""96f7b73447feea48"", ""1de9b25adb64febc"", ""9b79406df82fe72e"", ""a3557a3558c87e82"", ""a7aca60beeac7e4d""]"
T775,Global Products Report,Routine distribution of the Global Products Report with instructions not to update links when opening the file.,12,"[""a1fb4ad817cb93d2"", ""3aa7653acae1498e"", ""04e6bbe5c1fa525d"", ""3a2d9d31bf45bcc5"", ""2b3d8f02b137ad73""]"
T776,Energy Position Reports,"Monthly internal reports detailing long, short, and net positions of electric utilities at the customer, rate schedule, and regional levels.",13,"[""2d8024f294a22c7f"", ""23720d17ad289d58"", ""88e34024652fd68a"", ""7f4d02182fccd216"", ""1c631dff2cb2da6c""]"
T777,EnronOnline Executive Summaries,"Daily EnronOnline executive summary reports for November 2001, noting reduced transaction counts after removal of sleeve trade activity.",10,"[""113d4172577845e0"", ""fe67c7b4f28e7a18"", ""a317b19c6927a4da"", ""998a6dc76b205031"", ""b3a6e2857c97c166""]"
T778,EnronOnline Report Access,This topic covers the distribution and access procedures for EnronOnline public and management reports via the company intranet portal.,39,"[""a6a024bcb295b796"", ""3d04a1fc37e434dd"", ""c667885356343c78"", ""d44adf860156e236"", ""5edbbbfec2be49d7""]"
T779,EnronOnline Executive Summaries,Routine daily reports from EnronOnline providing executive summaries of trading activity and market data.,26,"[""13aff1482ed872ff"", ""9a25349b626b7aaa"", ""2d09f860f6d4b2c4"", ""acf63584f30f4fb8"", ""5c1dc7bb78d977d0""]"
T780,CDWR Payment Dispute,Internal discussions about resolving a disputed payment owed by the California Department of Water Resources or California PX for power delivered under block forward contracts.,15,"[""e6a15af9c316cfc1"", ""caf0287e9144bed4"", ""8e3cf444c911fe2a"", ""f428e221fd6ab5bb"", ""9d7d7cc764a33004""]"
T781,TW Deal Profitability,"Internal discussions about the usage, support, and potential discontinuation of TW Deal Profitability and Analysis applications.",37,"[""d4c3d1741208ec67"", ""9498ec618e50da24"", ""6257c76d65d4733c"", ""c82b98e41a13cb11"", ""92a53db7ac4da18e""]"
T782,Aluminum Plant Gas Load,Enron analyst seeking industrial gas load data and meter information for aluminum manufacturing plants in the Pacific Northwest.,18,"[""522072dd1928c68a"", ""e92a5d649b0c0053"", ""60ce248185e2d3be"", ""bfcc65d77351e34a"", ""516b8f1dab61236d""]"
T783,Houston Flooding,"This topic covers communications regarding flooding conditions, travel impacts, and damage assessments in the Houston area during June 2001.",79,"[""ec92973e948ef90a"", ""ae99c2cb386e9ce4"", ""04fecc286aebfc0f"", ""2c452e14e0088382"", ""c58532c719743b0d""]"
T784,Daily Financial Charts,"Emails forwarding daily financial charts and matrices as hot links from Carr Futures, distributed by John Arnold.",25,"[""aa3b947f11203f61"", ""3773c5cda8ffb9b8"", ""dadf366fd5f30b08"", ""ff58330ba1860c73"", ""cea630e5ebca95c1""]"
T785,Daily Financial Charts,"Emails forwarding daily financial charts and matrices as hot links, typically from CarrFutures.",19,"[""88696bbc81ac1fa0"", ""371dc7519ea1e8ea"", ""1cc416859e4808c2"", ""3481615931f1f7df"", ""aa41ce05274fabc8""]"
T786,Daily Energy Charts,This topic includes forwarded daily crude oil and natural gas charts and market commentary from Carr Futures.,12,"[""5b861528bfe8b603"", ""2266068d9520207a"", ""79003f8d2c8b8f4a"", ""681651ad160a882f"", ""1c9f1937e5be95f4""]"
T787,Personal Correspondence,"Informal personal communication between Jeff Dasovich and Colleen Silva involving scheduling social meetings, sharing contact information, and friendly banter.",16,"[""5cb41c79f73bcaab"", ""39f66cf2bcba74d7"", ""9a8b9e7cd64650f3"", ""be9a4d04a0d36df6"", ""ca16217c400d0bde""]"
T788,Orlando Utilities Commission,"Internal communications regarding the Orlando Utilities Commission counterparty relationship, specifically processing ISDA agreements, credit support annexes, and credit worksheets.",14,"[""c11cbf7bffe318a0"", ""d04f647d5050076c"", ""2f0b99df5d6044d4"", ""f7bad1b672f32063"", ""231e8640f9d6e59a""]"
T789,American Airlines ISDA,Internal communication tracking the credit and legal review status of American Airlines ISDA documentation.,10,"[""1ce56ba0535e5e3d"", ""22aa345ca63fd4ef"", ""d099b984f862db13"", ""1565706d89133c23"", ""655ce79afd5006dd""]"
T790,Garden State ISDA Documentation,Negotiation and preparation of ISDA Master Agreement documents and trade confirmations between Enron and Garden State/Citibank for Q3 swap transactions.,21,"[""89038583161f59e0"", ""f8ae737718a9a302"", ""db2d705787b6db4c"", ""9bac4e82dd74eb29"", ""16f2315bd8cbd3b2""]"
T791,Desk Chair Management,"Communications regarding the replacement, sale, and distribution of office desk chairs, including Aeron mesh and leather chairs.",12,"[""620d4be33edff906"", ""674947f508c01c8e"", ""113fa0e4770e4862"", ""e9d402af87a9c704"", ""95f5e6cc647156b3""]"
T792,Employee Emergency Contacts,This topic involves the collection and maintenance of employee emergency contact information and call-out procedures within Enron.,18,"[""e817e45e13b7f586"", ""d8f72758044834df"", ""5399dd07289cf63b"", ""a002204ac1585977"", ""df30df8d86bd771a""]"
T793,Employee Absence Coverage,"Managing email access requests and establishing backup contacts for an employee on extended leave, including inquiries about their systems and projects.",18,"[""2423216edac35ac2"", ""4b736e73a0f2cb34"", ""73abfbd907142f40"", ""fcd89f0669411700"", ""924facf9a229da44""]"
T794,Security Access Procedures,"This topic covers security measures, access control protocols, visitor management, and guard force coordination across Enron facilities.",55,"[""a6f4aa4ba24e22b7"", ""17207577af2601f0"", ""8387f1c8e4f6371a"", ""0be658723a590eac"", ""03db39154f67bcd6""]"
T795,Office Relocation Planning,"Discussions about moving employees to a new building, including seating arrangements, office configuration changes, and space allocation logistics.",369,"[""d2e40e0413d5afb8"", ""c1daf97728ca8da1"", ""204da7ac70639afd"", ""e9d50b6f2dac5f7a"", ""b20bc3a93eb6d345""]"
T796,EG Projects Meeting,Coordinating a meeting to review and present a spreadsheet of proposed power plant projects connected to the Transwestern Pipeline system.,12,"[""e0d210b008b0dacc"", ""dea09438982659fe"", ""47fa8f8d01a082ec"", ""b6914214d2181e01"", ""437a29ef92e037cb""]"
T797,CAS System,Internal communications about scheduling meetings and coordinating training for the CAS (Computer Aided Selling) system.,37,"[""c1c506cf9171c97b"", ""1a5e7b58b047ce9a"", ""96d12ced803d18c5"", ""f34f612611cb6a2e"", ""0a81692c8666ea84""]"
T798,Payment disputes,"This topic covers communications regarding late payments, payment disputes, and reimbursement issues involving Enron and external parties.",43,"[""76b6fe5a12e465e9"", ""b93e35d437460c54"", ""4a1182c573d7417c"", ""34422f571bdc2536"", ""1cd6087b8c83ccc1""]"
T799,Producer Insurance Development,"Internal discussions about developing insurance products for energy producers, identifying target customers, and coordinating with partners like Reading & Bates and El Paso.",13,"[""2b08415dcb2e60e8"", ""10fe4d6ed5f9e515"", ""dc4f1edaa98cddc5"", ""a194128ec8d992e5"", ""937472e9f6220c0f""]"
T800,Agreement Database Classification,"This topic covers the misclassification of JP Morgan Securities' electronic trading agreement in Enron's Financial Trading Agreements Database, specifically the process of moving it from Master Swap Agreements to the correct 'Other Agreements' section.",11,"[""6a8d8da618336348"", ""7fdcf97b4f557206"", ""75b7fdb46c81b4fb"", ""5f967268f03534cf"", ""1f7b1be9ab14f927""]"
T801,Elba Island LNG Negotiations,"Internal discussions and negotiations with Southern Company regarding the Elba Island LNG terminal, including gas sales, transportation requirements, and development agreements.",41,"[""9f75ed603ef695ec"", ""72ae71c2e34a4e7c"", ""e3e6001be3e23626"", ""b483a34d912be03c"", ""dfbd9807e789874d""]"
T802,Personal Correspondence,"Personal messages between Kay Mann and Carlos Sole discussing a new baby, weekend debriefs, and general personal updates.",18,"[""6c3199719799737d"", ""f79203bdabe2103c"", ""79fc9e9cc335d258"", ""0d9b7aac1795d388"", ""4b041b04655409cd""]"
T803,New Generation Reports,Internal communications about new power generation project reports and updates for the WSCC region distributed by Enron's Portland office.,33,"[""656adeeeaa10c16b"", ""582075c947115c8a"", ""a0b15518861d799d"", ""f7dd340981ce3fde"", ""e409ab7824481209""]"
T804,New Generation Reports,"Internal communications about new power generation reports, schedules, and capacity updates shared among Enron energy traders and managers.",14,"[""364ada864ae748b8"", ""5766bcd5f0c3934f"", ""74625c5de5bbcf10"", ""6fcd09ae0b318ddd"", ""314eaf3a72954d5b""]"
T805,Enron-Vitol ISDA Negotiations,"This topic covers communications regarding the negotiation and establishment of ISDA financial master agreements between Enron and Vitol, including discussions of credit arrangements and multibranch provisions.",18,"[""81a89f1b69c6ad1c"", ""4606318bf91dbb93"", ""3ee0a68cc649fc27"", ""f17cfc043ca3791b"", ""982baec90b72daba""]"
T806,Securities Trading Policy,Emails discuss Enron's official policies and procedures regarding confidential information and securities trading.,18,"[""cfad52c38f10abc3"", ""ba5ce6ece2743329"", ""e2f59add821a5e91"", ""06798057b7bd60a8"", ""3f8af9cf3684eb11""]"
T807,Trading Tape Retention,Internal discussions and policies regarding the recording and retention of audio tapes of trading conversations and phone lines at Enron.,39,"[""f74150b981dea942"", ""3db5895142eca906"", ""1f4a57d828859b3f"", ""5c6f22e634ec21fb"", ""6b77bdd4c75ecbb7""]"
T808,Rice Course Administration,"Administrative communications regarding Rice University course MGMT 656, including final exam scheduling, student roster management, and grade submission.",20,"[""babce2165d285676"", ""cf22f52003da5952"", ""bd359292ec169685"", ""604a3d8cdd0bcb7a"", ""3fc1c921eaa58344""]"
T809,Term Paper Grades,"Vince Kaminski submits term paper grades for groups of students to Pam, requesting confirmation and checking that no grades are missing.",13,"[""e03fbd0f4321ed7a"", ""34c521a100378617"", ""251b0179e3f1026e"", ""bef0ed77fc9db817"", ""a33874639d144aa4""]"
T810,Garcia Munte Spain,"Discussions regarding the Garcia Munte investment in Spain, including mark-to-market exposure, payment updates, and exit strategies.",14,"[""0887c3ac247c4244"", ""fa584b50fb4b3984"", ""4da7e7b393a78380"", ""ac18917ce9ebda15"", ""ac6d59148b381cb4""]"
T811,Independent Power Analysis,"Regular market analysis from Credit Suisse First Boston covering independent power producer (IPP) performance, valuations, and industry developments.",31,"[""16ddf3ee195aa6a5"", ""a5ab47f97253a5c5"", ""f7097c12371f9374"", ""6ff8d9daaeb4ac84"", ""069cc433cc5e9c90""]"
T812,Reviewer Selection,Emails discuss nominating and selecting reviewers for a review process.,14,"[""fe24183bba3b0e69"", ""8571bc15f97894ff"", ""e555633daf5d27e3"", ""1b6233f16554ded7"", ""7e3a70da74e8efe7""]"
T813,ENA Tax Inquiries,Requests for Enron North America's tax identification number and financial footnote documentation from tax department personnel.,14,"[""d69dc709392eb358"", ""e8839c07cb98b4b1"", ""d2dadf0a80600058"", ""44e47370f4b2ba37"", ""ee85ea9c8a178a56""]"
T814,Denver Office Relocation,"Coordinating the move to new Denver office space, including computer equipment relocation, network installation, and associated expense billing.",25,"[""a6760ea020fd096a"", ""4dd7ac1d302d838a"", ""c0d9c828dfc52ba9"", ""ba71ee6c3512ad5e"", ""f1312938e42543c4""]"
T815,DisneyStore Promotions,"Marketing emails from DisneyStore.com promoting products, discounts, and special offers.",15,"[""d8f823d8f95723cc"", ""8c9bccbfc947b6c3"", ""9f99b9ab7eb1191a"", ""e131f3c35ec5fa61"", ""840b3f852da9e4f0""]"
T816,QuickPlace Californiasolutions Notifications,"Automated notifications from QuickPlace about new pages, tasks, and updates in the 'californiasolutions' collaboration workspace.",13,"[""7736692e06562232"", ""ca1f3d4976acb10c"", ""c29af639078a4a36"", ""9f6f8a8f998e3326"", ""4850b9c491d29f14""]"
T817,Training Program Planning,"Internal discussions about organizing employee training programs, including budget concerns, meeting coordination, and training documentation.",22,"[""c7c551de1ed43a4e"", ""0d0d7f0f69f91c36"", ""f69444a32f510b29"", ""481e66840ffcbd3a"", ""369fffc9451fe7f5""]"
T818,Training Course Coordination,Internal emails coordinating employee participation in NYISO and NYMEX trading training courses.,14,"[""7c8f27281ccf989b"", ""448b321cd623e35d"", ""42e777dbe88e1ba8"", ""9b739e0f6c0f43e6"", ""7e808b65936231fc""]"
T819,PROS Revenue Seminars,"Marketing communications from PROS Revenue Management promoting their Energy Profit Optimization seminars, workshops, and webinars to the natural gas industry.",16,"[""52f6b6eccab561de"", ""5a70e260b42cd4d3"", ""f220f5be24a4c093"", ""1884d17ccf9303ee"", ""574354a0bef44367""]"
T820,West Power Opportunities,"Discussions about power plant development and acquisition opportunities in the Western United States, involving Enron North America executives and companies like Portland General and Newport Generation.",17,"[""ed9b6c3181e5b19f"", ""add9de9eb846775e"", ""0247b6225d2dc4fd"", ""177cd0815acf220a"", ""c6d58ff259489176""]"
T821,EOGIL India Sale,"Internal communications regarding the sale of Enron's India exploration and production subsidiary (EOGIL) to BG Group, including board approvals, press releases, and coordination between legal, PR, and investor relations teams.",14,"[""51a921ab07d837b8"", ""6c6fdd966d2ac482"", ""77b27e5c0a19aac8"", ""87c2717a9724b87a"", ""bbe2ca506aee769c""]"
T822,Power Trade Payment Dates,"Email exchanges about payment timing, settlement periods, and payment date policies for financial power transactions and swaps.",15,"[""fc6323e134b86679"", ""d3f4c94820b3c5bd"", ""d7489e5fc9cbd35d"", ""b2211b7329398d12"", ""23da1f3acd0ff4f9""]"
T823,DPC Project Updates,Regular monthly status updates and reports for the DPC project sent to project stakeholders.,12,"[""81ebdfe51fcf4203"", ""232a4902805d0b62"", ""31f62bb0c222496e"", ""0e3eb272daa506a8"", ""ff38ea2e58e66a02""]"
T824,DPC Project Coordination,"Communications regarding the Dabhol Power Company project, including Oman LNG coordination, project meetings, and operational updates.",77,"[""6c2ecef5a18208bb"", ""bb9fafa2b18ead94"", ""2e12e5dc4d87d7f4"", ""0439766e9ed49766"", ""69dd658bdc8d02e3""]"
T825,Coal Business Development,"Internal discussions about coal asset visits, power development strategies, and industry conferences related to expanding Enron's coal portfolio.",32,"[""9ffd97f9d8428f77"", ""47698550756acf78"", ""77a449b579f493c8"", ""2a8faddb79649dd4"", ""d7865a037c200ca5""]"
T826,Power Trading Agreements,"This topic covers the revision, distribution, and finalization of power trading master agreements across different regions including Nordic, UK, and US markets.",33,"[""8ff236c43aaa1dfb"", ""aa402c5365a12c93"", ""4d93faf78aff8e2d"", ""5dd33cce6d396e6a"", ""9ff8424b4b88fa79""]"
T827,Contract Termination Proceedings,"This topic covers communications regarding the termination of contracts, memberships, and service arrangements with various energy companies and independent system operators.",30,"[""cf5b35ce182a8175"", ""5462a4931512ef0f"", ""5811f3555dd856ca"", ""ee1bdd333491545e"", ""657be9c0a4e716f2""]"
T828,Ontario Power Operations,"Discussions regarding Ontario power market activities including supply offers, demand analysis, site development, and energy policy interactions with Canadian officials.",101,"[""082c6a8df74d3557"", ""d8cac56eff0c0e60"", ""64bdd6579881a662"", ""1272a6f1f9f715ff"", ""6773a444d53bbb9c""]"
T829,Canadian Power Contract Forms,"Discussion of adapting EEI power trading contract forms for Canadian markets, including drafting Canadianized versions and addressing jurisdictional differences.",20,"[""5b2a80959028003a"", ""7cab65c812ca2889"", ""51868a81db2aea77"", ""2e9dc1374262c9c5"", ""67b4077e9ed442a3""]"
T830,Canadian Oil Alliances,"Emails discussing the extension and renewal of strategic alliances with Canadian oil and gas companies including Syncrude, Suncor, and Petro-Canada.",16,"[""763c863b2ca25907"", ""ccd24d7bce30e7d3"", ""7bbb2110e2e825f8"", ""c07e344173df2a9e"", ""b122284380f6d44d""]"
T831,Venezuela LNG Project,"Internal communications and strategic discussions regarding Enron's liquefied natural gas project in Venezuela, including interactions with Venezuelan government officials and U.S. political leaders.",29,"[""8f7f6c3484a3c74a"", ""000b360a755728b7"", ""9de880f696074ced"", ""d248f4d37c628b4a"", ""0cc7c4e7b64d770b""]"
T832,Dabhol Power Project,"Communications regarding Enron's Dabhol Power Project in India, including government guarantees, regulatory reviews, and public relations strategy.",124,"[""3a49b84e1c49981c"", ""97e21384b4987a4f"", ""b9654db8f1fe1569"", ""d1e846995bc2ec69"", ""434a385dee3fafdf""]"
T833,Enron India Operations,"Discussions about Enron's business operations, regulatory challenges, and executive visits in India.",13,"[""40421b13f701f0e6"", ""b21c72b8bb77af61"", ""b63fc682a3a8f4f6"", ""78f0d7513a25d2ba"", ""5ca0b8437237550f""]"
T834,NGX Litigation Settlement,"Communications regarding the settlement of Enron's litigation with NGX, including press release drafts and outside counsel updates.",25,"[""5b5a610eb6956502"", ""04f8ea8b9edba2f0"", ""61196584573f0ffa"", ""2e323d7a147442b7"", ""df0f2164ff20bb43""]"
T835,Enron Canada Legal Status,"Internal legal communications regarding Enron Canada legal status reports, quarterly legal reviews, and related document handling between legal staff.",18,"[""4a9854ea4ca9c8f9"", ""4c9b7848a080089c"", ""c269f9ebe147e057"", ""01c9faf753df0ec3"", ""26ed5c411e760617""]"
T836,Entity Dissolution Requests,Internal communications requesting approval or objection to the cancellation or dissolution of Enron limited partnerships and subsidiaries for tax or administrative purposes.,20,"[""92a661cead676cbb"", ""3bc1d464b24154b2"", ""c711e4c593c9f39b"", ""d7d80739c4150107"", ""aa902d3baa36ce79""]"
T837,Canada Coverage Operations,"The emails discuss coordinating coverage for Enron Canada's power trading desk, including scheduling, dispatch instructions, and negotiating cost allocations.",16,"[""61971d516793f5f8"", ""531e58dc93317c86"", ""24cf9225ddfe67e7"", ""94d79536bad905a8"", ""1d97d1b92dc22910""]"
T838,Alberta PPA Auctions,"Enron Canada's participation and management in Alberta Power Purchase Arrangement auctions, including internal discussions about auction strategy, risk assessments, and coordination with external parties like TransAlta.",34,"[""921568d54f6c24dc"", ""e9111fb5c862b70b"", ""6d9af8a1b3126367"", ""15beed548267b9cf"", ""b6e2b403996bb4cd""]"
T839,Alberta Price Fixing Investigation,Emails discussing Canada's Competition Bureau investigation into alleged electricity price fixing between Enron Canada and Powerex in Alberta.,13,"[""6d8070d82450968c"", ""05dea617d87e357b"", ""07466d345153c1cf"", ""676b0a8d126c8832"", ""aec0f23778b25fcd""]"
T840,Canada Work Reports,Internal communications regarding the submission of Canadian regulatory compliance reports and inquiries about Canadian contract participant requirements compared to US standards.,22,"[""5be982a37a32a346"", ""b07510723cc406c4"", ""a7d22c41d749f4d0"", ""259a9929754d4879"", ""fccf3112498ae65b""]"
T841,Letters of Credit,"Internal discussions about EOTT Energy's requests for letters of credit from Standard Chartered, including amendment requests for date extensions and concerns about Enron's ability to issue additional LCs.",18,"[""1084c6422e3f1dc9"", ""0b09fdee5b35f70e"", ""edfa6bc32e86f839"", ""ba3f729919aa95c8"", ""678bb679eb3152a8""]"
T842,European Subsidiary Changes,Documentation of corporate entity changes including new incorporations and name changes for Enron subsidiaries in Europe.,20,"[""830da59a5360b798"", ""1eb9961a8a093dfc"", ""67be529e89c6041b"", ""d4e450a0683a58c7"", ""e931299e6b2deccd""]"
T843,Canadian Retail Operations,"Internal discussions about coordinating and integrating Enron's Canadian retail operations, specifically merging Enron Direct into EES Canada and resolving related governance issues.",16,"[""93b5cbb2f6e8572d"", ""b12a20a5efda27f5"", ""3d2f855c67de1d10"", ""bdb8e1fee2830971"", ""8de513f0477a1985""]"
T844,Alberta Market Surveillance,"Discussions of Alberta electricity market regulatory changes, specifically the Market Surveillance Amendment Regulation and Power Pool rule updates under Project Stanley.",29,"[""8d6ff11fedc9719c"", ""aad34c72b5150339"", ""49f02ef503ea6a87"", ""86023fd35a4df899"", ""a76d6967b75e8def""]"
T845,Project Stanley Documentation,Internal collaboration on developing and revising Q&A documents and public statements for Project Stanley.,26,"[""1bb17fd4e28c7ec4"", ""2879b44e3d69913c"", ""36eb1c433394ab2e"", ""33eb3e19131d1af6"", ""11accada49fbd853""]"
