project_id,name,description,n_emails,representative_emails
P105,Holiday Gift Campaign,Targeted email promotions for seasonal flower and gift sales to Enron employees.,59,"[""d9253180b0c8c770"", ""c590274cd9f775a9"", ""d209c0c0906715db"", ""fbcacd7cc0e5aa65"", ""3b3d040c69f8ddac""]"
P106,Bookstore Promo Tracker,This project aggregates promotional emails from online bookstores to monitor holiday sales and book recommendations.,742,"[""32b01f2a8a8e1732"", ""d2fd75a9b892398a"", ""fcf2404b6f6e002e"", ""ee13417997722fd2"", ""f121136ae3c2ac05""]"
P107,Access Request System,"Provides a workflow for employees to request system access and for approvers to approve or deny those requests, with notifications for overdue approvals.",240,"[""c340436c5854c9c7"", ""043050f94cf0e587"", ""bf4da5a6f28db60c"", ""c0a49728a56f7d1d"", ""74b06a0f332bb252""]"
P108,Access Request System,The project automates the submission and processing of employee access requests to internal applications.,94,"[""5e242483757fe62f"", ""06094fc86c7d6642"", ""cc3beb9b3dc4182c"", ""a9362271cf645cdf"", ""00b8adbcd1920170""]"
P109,Enron Kids Holiday Giving,"Enron's charitable program providing holiday gift bags, sponsorships, and book drives for underprivileged children in the Houston community.",83,"[""93b3ef123b4182eb"", ""416834cf85c20dfd"", ""61af5cf34126c588"", ""fdabbf06ce7ebcca"", ""4bce5ea27df9701f""]"
P110,JDF Walk Event,Coordinating Enron's team participation in the annual Juvenile Diabetes Foundation walk and fundraising efforts.,85,"[""a747246b602f05b0"", ""f927628fd77b75b5"", ""f42a385ebaab608d"", ""ad73b0d78965f5ad"", ""56d072cda735f0ff""]"
P111,United Way Campaign,Internal Enron initiative to promote employee charitable giving and volunteer participation in United Way fundraising activities and events.,77,"[""923601c4be7e2604"", ""77b6565332ecb137"", ""53286aa9e461f8cf"", ""3e3ceaed111636e2"", ""0232b35767d506f2""]"
P112,NYMEX Calendar Management,Coordinating NYMEX trading hours and holiday schedules across Enron's energy trading operations.,63,"[""45424d6127f5f7a0"", ""570f2616ceccdf91"", ""5085e5e732cf9686"", ""d9ce18dd107e6b5b"", ""35c61e2084c75529""]"
P113,Kobra System Maintenance,Managing Reuters Kobra permissioning database changes and resolving user access issues for the financial data application.,65,"[""76aa95d1d81e408f"", ""c3a38bad13e0ef72"", ""63f800c0c4f168f3"", ""e05dccf48aeee2f6"", ""88d7bc0d3c7c91d5""]"
P114,Transaction Data Room,Coordinating data room access and site visit logistics for a potential Enron transaction with Credit Suisse First Boston.,58,"[""5bf950ffc5e4b797"", ""bb65c2a320925795"", ""eed729a38135912a"", ""117216f9b26d451b"", ""c5ddfe850faebebf""]"
P115,Personal Event Coordination,"Coordinating personal travel, family events, and administrative tasks across multiple locations.",74,"[""e178ef9603b34ca2"", ""32ab1d532bc6acc3"", ""a4362b8339a627dd"", ""3565d4c27a703778"", ""732e2b99143d80c0""]"
P116,EOL Credit Responses,The project coordinates and tracks credit response workflows for EOL (energy trading) contracts across Enron's global trading desks.,158,"[""0ba4ce44452013dc"", ""5265334b9868d6ad"", ""bd9bd3e638be23e1"", ""267b4a0d8ead164b"", ""da5e93acd4835a38""]"
P117,Energy Standards Board Formation,This project involves GISB's efforts to collaborate with EEI and other industry groups to establish a unified Energy Standards Board that would develop uniform business rules and governance standards for wholesale and retail gas and electric markets.,124,"[""6d100d1371cd9054"", ""7bd879be8ffcdc76"", ""16644526020f2ed3"", ""58c2d6a13565925a"", ""6ceb343d5b8d0d93""]"
P118,Transwestern Pipeline Contacts,Maintaining updated contact information and coordinating meetings for the Transwestern Pipeline commercial team.,265,"[""cfdb6f3bc5cdd10c"", ""00d65224e6bf9733"", ""74a78e8e50c02d53"", ""6004efbafe9d3cdf"", ""86cfbc14b4fb3a63""]"
P119,Personal Achievement Awards,"Process for nominating, approving, and disbursing Personal Achievement Awards to Enron employees.",61,"[""58caa8056146eeec"", ""89c458133b0fa4d1"", ""9e686a4bfa50f013"", ""1ce3899b54a30bbb"", ""7150df3cee92b039""]"
P120,Power Trading Communications,"Internal and external communications between Enron's power trading operations and counterparties regarding fax transmissions, invoice processing, and regulatory matters.",137,"[""2abbd2545c19638e"", ""8bbb93cac944102a"", ""cf0ee45fb5ef41df"", ""c16fe262476db153"", ""9da9bc3c5cd8605b""]"
P121,Credit Watch Management,"The project manages credit watch reporting, trade confirmation, and credit team distribution.",185,"[""d599357759fb6d16"", ""f439d901a54b42fb"", ""751cb45f83320f06"", ""550f61f743a05706"", ""881cfe94079a4f35""]"
P122,Houston Flood,A project to coordinate communications and share updates about the June 2001 flooding in Houston.,77,"[""ec92973e948ef90a"", ""ae99c2cb386e9ce4"", ""04fecc286aebfc0f"", ""c58532c719743b0d"", ""2c452e14e0088382""]"
P123,MIPS Grains Report,The project addresses technical issues with the MIPS system that affect the generation of the grains report and meter data integration.,70,"[""48ab05bcd50f4f4c"", ""193a5c58a1d262b2"", ""48930166c2fd82a7"", ""b7b52395309d89a0"", ""2bef81dc0a7e0f1e""]"
P124,Kazakhstan Adoption,"Managing the end-to-end process of adopting a child from Kazakhstan, including homestudy, INS approval, document translation, and travel logistics.",60,"[""33d183348599d756"", ""c6fe568db5517c6f"", ""efa08b422b75d98b"", ""9d7a0f45130c07b1"", ""4a050fa4ff29d099""]"
P125,Leander Stage Deal,"The project involves the purchase of the Leander and Stage properties, requiring preparation of loan applications, rent rolls, and closing documents.",212,"[""b2b27fc1ad7bba1d"", ""a2738f433eb8cb2f"", ""a0e533059ed8b88e"", ""e37a2f81ef7437e7"", ""328b4672600285c3""]"
P126,EnronOnline Reporting,"The project provides a centralized intranet portal for EnronOnline management reports, security control reports, and monthly statements.",123,"[""e92eb11694c9df80"", ""035013726714e62a"", ""3a42f1d2e250c208"", ""44994f71753b4c63"", ""d210f11707fe342b""]"
P127,Crescendo Energy Acquisition,Negotiating a gathering agreement with Wildhorse Energy and preparing a bid for the Crescendo gathering system as part of Enron Capital Resources' acquisition of Enogex properties.,203,"[""5f977f9f681704c0"", ""5fc853d9bb1df9c8"", ""ae952c9431c7ad17"", ""80514dbcdf85ac81"", ""16a498f389c0f75f""]"
P128,ClickAtHome Program,Enron's employee benefit program that provided subsidized high-speed internet service and PCs to employees' households through partnerships with multiple ISPs.,127,"[""741570585133e2cd"", ""15d906d1cc4fbcd1"", ""0d98f138ae7c4dec"", ""1f4f6623caf89a59"", ""2eb2e0352a90e9e5""]"
P129,Internal Equipment Requests,Tracking and fulfilling internal requests for computer hardware and accessories.,214,"[""ec77e4d2300bdb77"", ""5bf1638b5c9a3e1b"", ""7ffec28d8faf5f4a"", ""01abc8b991f58cca"", ""ecd4bcf6ca87b0d0""]"
P130,Outlook Email Migration,Migration of Enron employees from their existing email system to Microsoft Outlook with the Windows 2000 operating system upgrade.,136,"[""c50ac50a7fc5db3f"", ""2a68b4cda9b5c44d"", ""03ef1ca39f0f3f6c"", ""1c106c2df023b3b8"", ""6f319c74a7bfdd62""]"
P131,Gas Sales Confirmation,"The project monitors and records natural gas sales transactions, including intraday and quarterly deals, and ensures confirmations are sent to relevant parties.",51,"[""cdb7faf730228c6d"", ""ab98fd0beed88ab1"", ""95655c98a325d9e3"", ""8523eda5612593e5"", ""58d2d7a988912cab""]"
P132,Vendor Contract Compliance,Managing vendor contract compliance for Enron's Energy Operations (EES/EWS) by coordinating CSC work requests and ensuring appropriate VP oversight.,215,"[""f9cd5e64e68a22e2"", ""1c4646108cc07b75"", ""ec3805586aca2071"", ""e2e39a2c971c6a2e"", ""e9e9ce82d0d0d954""]"
P133,Click Paper Approvals,"Managing the approval and onboarding of counterparties for Enron's Click Paper product, including credit approvals, legal review, and exception handling.",244,"[""745ace5c34e87747"", ""f0588039400a1aaa"", ""9798439973fb46aa"", ""31d5ce2ad8af91c3"", ""a715df8f27efde2c""]"
P134,GISB Office Relocation,"Managing the relocation and lease renegotiation of office space at Enron's GISB building, including negotiations with Hines property management for space consolidation and lease extensions.",438,"[""5f01d5e6bed00e5a"", ""4070c32f186fa3c3"", ""9e91d4d399ccea26"", ""af431e47cfb9edf0"", ""6223b037a42f4712""]"
P135,CommodityLogic Back-Office Platform,"Development and deployment of CommodityLogic software modules (Financial Management, Invoice Exchange, Confirm Central, and Contract Exchange) to create EnronOnline-type capabilities for Enron's mid and back-office operations.",80,"[""95d0d93d28422186"", ""4c1eec150f16f390"", ""f07b332b95996151"", ""dbf6572ef0b10772"", ""2178084088cd62d1""]"
P136,CERA Research Distribution,"Monitoring and distributing CERA energy industry research reports, multimedia presentations, and web call replays to Enron personnel.",208,"[""143887565b28f118"", ""19fe854d27e48742"", ""14a98583d39f83dd"", ""6c9bb01af0d4d087"", ""64d908af31410bef""]"
P137,Performance Review Committee,The project monitors Enron's 2001 gross margin per unit and coordinates bonus decisions.,825,"[""e8673407285647e4"", ""f25eae07da014ffe"", ""8043c8d4ad6e781e"", ""1c320d1781a09cf9"", ""53d47dd4ed351328""]"
P138,World Hunger Project,"Enron's negotiations with General Electric over contract language for the World Hunger power project, addressing indemnity, loss‑of‑life fines, and purchaser‑directed change orders.",71,"[""dbaa4a4820c64313"", ""3afaab8d3bf79169"", ""47bbe802e29c98dc"", ""17433d2937e5bd4f"", ""7191709faab1a64b""]"
P139,HPL Sale Transition,"Managing the sale and operational transition of Houston Pipeline (HPL) from Enron to AEP, including business process handover procedures and closing coordination.",111,"[""04598272c6b2996f"", ""296dd17651dcee3f"", ""a826b8b44c734a5c"", ""69cb037e33775d90"", ""cd20d3399ee05fbb""]"
P140,Invoice Payment Resolution,"Managing outstanding invoices owed to Enron, including tracking payment status, resolving approval routing issues, and processing payments through alternative service providers during the company's financial decline.",83,"[""bf3c8c7854186b19"", ""98300cfd65aad77f"", ""276e1fea82d59638"", ""8d5c9f7d940a4f6c"", ""772b90dee0f4bbf3""]"
P141,E234 Case Project,A group of students collaborate to analyze multiple business case studies and prepare answers to case questions for the E234 course.,433,"[""fa610e167f877428"", ""e5e2540a2a2d9e0c"", ""1ae17b3acac1f0b3"", ""a7e38a81b9745875"", ""3080d5d372acbdd5""]"
P142,EPNG Gulfstream Maps,The project focuses on the management and release of mapping data for Enron's EPNG and Gulfstream pipeline projects.,87,"[""4712b81a00fcf45b"", ""bd78aa5a861bf837"", ""7315236ae2ab34e7"", ""22b1910768638408"", ""fa045d62742c6c2e""]"
P143,Gallup Peak Power,A project to coordinate data and strategies for avoiding peak power costs and pricing conversion agreements for Enron's Gallup power contracts.,161,"[""273b03c6c0e8a714"", ""6bd4559508c57640"", ""c3ee63a1750f6d49"", ""e0b57ee93cff45a7"", ""f86508af5d51912f""]"
P144,Pueblo Energy Project,"A competitive energy initiative to provide electric power to government facilities (DOE/DOD) in the Pueblo, New Mexico region, competing with PNM utility rates through pipeline infrastructure and regulatory negotiations.",53,"[""130fb7c825abfd3a"", ""102830e88e7dbf09"", ""364afba0618c515d"", ""9d34a7ca6894ebb9"", ""924887d7c6cbcda0""]"
P145,Ontario Power Market,Enron's initiative to offer power supply to Ontario and analyze the province's electricity market opening and demand dynamics.,101,"[""082c6a8df74d3557"", ""d8cac56eff0c0e60"", ""e81e6371b6524e28"", ""e5ef167c3fa82e7b"", ""ed3098a64100c389""]"
P146,Alberta Power Pool Compliance,"Managing Enron's compliance with Alberta Power Pool regulatory changes, including security deposit calculations and direct sales contract modifications.",162,"[""fb68567c3e391775"", ""e17e26a2b76d1c76"", ""e14c5ed7971a5c6f"", ""0b3265558bf76484"", ""5f28d030a414f6e9""]"
P147,NEWGen Project,A project to monitor and report on new power generation capacity additions across US electricity markets.,75,"[""656adeeeaa10c16b"", ""88250a9f4650dfda"", ""35c040590ad970f5"", ""a2b0aae0993c470c"", ""cfba8f620b45d038""]"
P148,Dallas Fed CRA Initiative,Enron's engagement with the Federal Reserve Bank of Dallas on Community Reinvestment Act compliance and community development initiatives through conferences and publications.,122,"[""91f415da832c79ca"", ""8f2245bfe9769d55"", ""6669a3d5df98333c"", ""e85a4328ade1807b"", ""bd9dd2c1242be0b6""]"
P149,LNG Atlantic Strategy,"Developing LNG terminal capacity and trading opportunities in Atlantic markets including Elba, Bahamas, and US West Coast with strategic partners like El Paso.",208,"[""14e26bab7ce7f43a"", ""85426030cc35f7a7"", ""b9b42097d9459b53"", ""a463aea88ff4db74"", ""e7d00a166907284b""]"
P150,Dabhol Project Exit,"Managing Enron's potential exit from the Dabhol power project in India, including negotiations with partners, media strategy, and government relations regarding the sale or buyout of the investment.",172,"[""a49dd567e9d71328"", ""a3eea324c7e7e110"", ""80a4be889dc56d43"", ""f3d7d2da7d19e7cc"", ""b546d2bb32387446""]"
P151,DPC Oman LNG Project,"Coordinating the Dabhol Power Company infrastructure in India with Oman LNG supplies, including negotiations on terminal access, conditions of use, and project development.",75,"[""6c2ecef5a18208bb"", ""bb9fafa2b18ead94"", ""2e12e5dc4d87d7f4"", ""0439766e9ed49766"", ""69dd658bdc8d02e3""]"
P152,Daily Energy Charts,"The project aggregates and distributes daily natural gas and crude oil charts, options data, and market signals to Enron traders.",62,"[""2f44a0d028158e25"", ""b972e83bcf2b5919"", ""60a30543790b98a9"", ""ed79a9d9955f1548"", ""d953fe2ba80b1fe0""]"
P153,Electronic Pay Stubs,Implementing electronic pay stubs for direct deposit employees and managing variable pay accrual.,54,"[""ee2750bd7d83c6de"", ""1fba5994ede388d0"", ""39286e8db4093663"", ""2309978c8e55cf3a"", ""eb00047a390c1d6c""]"
P154,OATI Etag 1.7 Implementation,"Training employees on and implementing a new OATI E-Tag 1.7 electronic tagging system for energy interchange scheduling, including new templates, testing, and workshops.",61,"[""d645221a718132e6"", ""fbe3c1465dd12f42"", ""36a9c1783541c302"", ""93d497ca554a526f"", ""a40be53c9ac4558d""]"
P155,Enron Oil Litigation,"This project coordinates legal handling of Enron's oil-related litigation, including Colonial Oil claims, the Wright case volumetric production payments, and the ELFI claim against Coastal.",927,"[""173fb73b5340a223"", ""8b81b9defbd92e81"", ""fb2e42ed8b31accb"", ""daa5415c938e0595"", ""c7470cb2b382eb51""]"
P156,Western Electricity Price Reports,"The project aggregates and distributes daily electricity market price updates for the western United States, providing peak and off‑peak forecasts for the Northwest/Northern Rockies region.",104,"[""954e048ba224a186"", ""7761de846a9da376"", ""3f653f918d0ed9fe"", ""8cfec8849e70e8fb"", ""64e3714854b3f9ae""]"
P157,ISO Audit,"A project to coordinate the ISO audit, gathering required data and sample files, and preparing a template for audit comments.",65,"[""97bab931159ded92"", ""da55fd5a45828d42"", ""7dae0c0f8fc3160b"", ""ebc5d5a4fc59597e"", ""8f37820f0f121eaf""]"
P158,Big Sandy Project,This project involves the construction and operation of a natural gas delivery point (Big Sandy) including pipeline interconnects and firm transportation agreements between Enron and IGI Resources.,74,"[""df61e467cd85a8e5"", ""7ff61fdff1a3daf5"", ""dbc880a28a0d6688"", ""55087c3ed612c889"", ""d9f17c9541853c9b""]"
P159,Master Swap Agreement Database,The project involves migrating and managing a database of Master Swap Agreements to provide attorneys with edit access and tracking capabilities.,287,"[""fa35ef00b8453b89"", ""564b6699a26542ea"", ""c786ad4a1cead259"", ""ee3aebb6c50c0799"", ""0f7e9cca86f473f9""]"
P160,Project Redman,"Legal and administrative setup of Enron Canada's new trading entity, including incorporation, name changes from ERMT to NETCO Canada Corp, and establishment of NGX trading arrangements.",238,"[""38d30dd6bed959f6"", ""f742f7a4b2a92a7d"", ""89be52b6b5049291"", ""183002a73a2d1b64"", ""6c4c4ba77f536fce""]"
P161,Houston Meeting Series,"Coordinating meetings between energy industry participants to discuss industry standards, master agreements, and regulatory matters.",243,"[""3a8f70f2d66f0818"", ""64e63d4d23efb9c2"", ""696c9d5d1eab2f20"", ""e8c8a39febedf2c9"", ""d2dc2f8cf04ce600""]"
P162,TVA Energy Trading,"Managing Enron's energy trading relationship with TVA, including interconnection agreements, program guidelines, and regulatory responses.",133,"[""8e95cf97216caec0"", ""5078dab6dd4831c5"", ""1541ad17aa716b26"", ""42ec38d40f4fb4b5"", ""5d162c8573ea6ece""]"
P163,PRC Process Management,"Managing Enron's Performance Review Committee (PRC) process for conducting employee evaluations, including scheduling review sessions, collecting reviewer suggestions, and verifying supervisor reports.",1030,"[""ebd5e5ebf7b3c95d"", ""4cd070d37c03dcc8"", ""6b7262a499e8f2ad"", ""8d548268b36f3d25"", ""1587ff787c3ec96e""]"
P164,Expense Report Processing,"Internal workflow for submitting, reviewing, and approving employee expense reports for accounting.",71,"[""55edb4f05dc5df47"", ""7bec5f78292b8af6"", ""73113dbb2419c7fa"", ""cb6f802e016e6819"", ""c7aa192852160675""]"
P165,Midway Project,Enron's Midway Development Company project involving power infrastructure development and partnership with Florida Power & Light.,129,"[""64638f7a672c583b"", ""c7841d7e428dbe1f"", ""c0a16fc81756fb33"", ""72f3d727c5841b4f"", ""e6be028deb733da0""]"
P166,Florida Air Permitting,"Regulatory and legal coordination for air permitting of Enron power facilities in Deerfield Beach and Pompano Beach, Florida, involving DEP and local government stakeholders.",99,"[""8fd9ba0cb3255218"", ""d8368a157f0306c2"", ""0132e54e5f3c92f3"", ""a012838e5cdc23c7"", ""e4cb9d8ae985e98d""]"
P167,Super Bowl Planning,"Coordinating Super Bowl event attendance, registration, and related social activities for Enron employees.",57,"[""172927257becce0a"", ""d42f195ca80e36eb"", ""d37246d358533e27"", ""0234f4760d2c35fb"", ""bb6cae9cb8ab4d11""]"
P168,Social Event Planning,"Coordinating personal social activities such as dates, concerts, and dinners among Enron employees.",301,"[""d8408d5b74f1de7c"", ""c48e83b0fee4a770"", ""5c9fd40b39c6e23a"", ""a503a9c31543ae06"", ""15f5aac502823bed""]"
P169,Legal Status Reporting,Internal process for collecting and compiling legal department status updates and transaction reports for quarterly management reporting.,313,"[""a2172712307d377f"", ""50a12c5dff0f2d51"", ""f348d5e0d47d2f44"", ""f5ca75a82e9cfc3f"", ""664348134d8fd419""]"
P170,Gas Fundamentals Portal,Internal web platform for gas market fundamentals data and analysis accessible to Enron employees.,63,"[""4b0a9f8bf8a43d96"", ""be590bf65c02431d"", ""65c4064fc3ff2afe"", ""b643d0ff29087d6b"", ""54abef2e9bb0e6c6""]"
P171,EnronOnline Credential Management,"This project handles provisioning and resetting user credentials for Enron's online trading portal, EnronOnline (EOL).",304,"[""c40f2ff7b0538b0c"", ""1ff452d328d5732c"", ""4551970ca6b33d44"", ""399e37871fcdb071"", ""e717918694273c1e""]"
P172,Northwest Book-of-Business,"A project to monitor and report the status of Enron's Northwest energy trading deals, counterparties, and annuity details across various periods.",54,"[""71d74cb4a6759787"", ""955cbfb2bc34049e"", ""f5fcf72a294bb5ca"", ""cdcf861840824eb5"", ""f5570fe78981a5a9""]"
P173,Regional Liquidation Reconciliation,"The project tracks and reconciles financial liquidations across Enron's regional trading desks, updating settlement forms and resolving variances.",83,"[""ac82dcd8dd6143b9"", ""9745ca269b1eca4c"", ""24c6eb271ccbda6d"", ""29bba68f15ff485a"", ""be1bbd376b164664""]"
P174,Bushton Plant Operations,"Managing gas imbalances, helium volumes, and operational issues at the Bushton plant under the ONEOK contract.",114,"[""3ad5b11ee05a7e3a"", ""3009525de523d3ce"", ""e3107925ca119930"", ""ed719cb7f9638766"", ""1384d771267b1c82""]"
P175,Admissions Visit,Coordinating a prospective student's visit and interview for admission to a business school.,69,"[""7b6164de522143ab"", ""a873563600665759"", ""60f97836b38b2106"", ""76786f8c7fae8526"", ""082347742ffbf432""]"
P176,California Capacity Report,A weekly report summarizing natural gas pipeline capacity and deliveries to California from Transwestern and El Paso.,66,"[""2de4d3ab29422b37"", ""ac20afec88bd2760"", ""261bdd03aca5b6b8"", ""3559e2f818a1fa70"", ""533a13fdb34e1b5a""]"
P177,Natural Gas Trading,"Examine natural gas storage data, price movements, and demand trends to inform trading and hedging strategies.",282,"[""ddc3ddd9b8ab3671"", ""d26e6c4fd9373804"", ""c83b5ca698b5365d"", ""62e3ccdfb72d0711"", ""b3e7e617578608d9""]"
P178,Natural Gas Storage Monitoring,Tracking and analyzing weekly and monthly natural gas storage data from the Energy Information Administration (EIA) for market analysis and reporting.,143,"[""f8c6d056eddb82fc"", ""23acf597911eb93d"", ""07e105da392136e2"", ""4d097eb871a44921"", ""90d09095b7d1f7a5""]"
P179,NWPL Data Pipeline,Automated data scraping and database integration system for Northwest Pipeline (NWPL) cycle data with operational reporting and error monitoring.,123,"[""207dd728151c8eab"", ""5207cd164311bed5"", ""9ccdc2af11bb328d"", ""a310b962cd4bba75"", ""a2422369220f613f""]"
P180,Gas Credit Approvals,Processing credit approval requests from gas shippers for firm transportation capacity and contract terms.,61,"[""09923d10ae19a29e"", ""76c76b9692104ec6"", ""43b3c9e0bde00c1f"", ""d7a739a8a7ac8cc7"", ""decb20a8661518c9""]"
P181,Transwestern Pipeline Compliance,"Environmental compliance monitoring and regulatory reporting for Transwestern Pipeline operations including air permits, groundwater monitoring, soil investigations, and hazardous waste management across multiple states.",426,"[""e5b8fff738d15055"", ""f8430e4e2bbd3af0"", ""7084442fe62757c3"", ""42f8cafbda78bc5c"", ""32798048f875fc90""]"
P182,Internal Directory Management,"Maintaining and updating internal contact lists, research directories, and project inventories for the organization.",58,"[""de99b9c3b101960c"", ""8b70f9395b591a09"", ""c720b48ce9015970"", ""a6f3e6839c431862"", ""5c38080c5282b32b""]"
P183,Car Purchase Project,"Coordinating the evaluation, financing, and acquisition of used vehicles for the project.",96,"[""91a16fe359c577cc"", ""e9ecf7d03ad0fddc"", ""d2d902b293a28062"", ""58e7cbc5f46e830b"", ""50f26710a7dbf286""]"
P184,Internet Auto Sales,"Managing internet-based automotive sales operations, customer inquiries, and follow-ups at car dealerships.",55,"[""a27eadafbc716897"", ""63f6f718bd8c234d"", ""459b2804931c1857"", ""f799783e4bdb0012"", ""05284a35e4a065ea""]"
P185,PaineWebber Account Services,"Coordinating UBS PaineWebber client communications regarding private equity fund investments, share vesting schedules, account contact changes, and 529 education savings plans.",64,"[""0c1dbd0a715f439e"", ""736c2135d71f2122"", ""c884c49779414a4a"", ""b96f376230922576"", ""7b88c078a807e606""]"
P186,E-Knowledge Survey,An internal survey to enhance information exchange and gather employee insights at Enron.,78,"[""e1a2ec20e50b1381"", ""3bcd37dc12526ef4"", ""6545b0f696d0701d"", ""01f30f9fa4eca6ae"", ""329d6acaf8795b1d""]"
P187,Bridgeline Partnership Management,"Managing financial arrangements, contract obligations, and payment disputes with Bridgeline Holdings, L.P.",163,"[""34f52fd2a0701126"", ""417d064f38a1ed92"", ""8fd9a48844617719"", ""50db22fb850ee651"", ""7c87ea25bbdec301""]"
P188,Personal Email Banter,"A collection of personal and casual email exchanges among Enron employees and external contacts, featuring programming examples, playful banter, and interpersonal conflicts.",239,"[""a2356deb171258f6"", ""39eba0407bcb24b5"", ""a60c31451751911e"", ""c857abedeb680f9f"", ""d0669713f152c8fd""]"
P189,Bandwidth Market,The project aimed to develop a broadband marketplace for trading bandwidth and processing EBS transactions.,304,"[""3a6b97ecc4611228"", ""7fe1c3589311e59b"", ""91e71fee91703fc2"", ""fb87374edd8f785a"", ""42aedd4ab53d6f24""]"
P190,Enron Japan Website,"Development and maintenance of Enron Japan's corporate website, including content management for regulatory and business sections, along with related regional business operations and public affairs support.",131,"[""1044b071b4a5abf0"", ""d0ba4ba993f912d6"", ""6ff249ef5a67390c"", ""9148ab8c93968830"", ""50d22d1d11a243f0""]"
P191,Visa Processing,"Coordinating employee visa revalidation, extensions, and appointment scheduling to ensure compliance with immigration regulations.",118,"[""66b83902a6640b11"", ""97a1d0caf07deeb7"", ""5d816b0dacbb5b8a"", ""4d52639efc76c563"", ""fd18c43ec21fd837""]"
P192,Unify System Management,"A project focused on the deployment, integration, and ongoing support of the Unify system for gas settlement and logistics operations.",114,"[""d1f2f04745cb072c"", ""b6c501ad66151ec8"", ""22242aebc023426f"", ""f57d3755a268324e"", ""51d47c60d1c78ff6""]"
P193,Azurix Q3 Review,Internal review of Azurix's third quarter charges and 2002 business plan.,88,"[""8d85034d70157f93"", ""5f9da94c8c590a41"", ""7de21b6628a33559"", ""745002ffaa378bad"", ""e540b0079dc824be""]"
P194,Enron Wind Europe,Managing legal representation and joint venture formation for Enron Wind's German and European wind turbine maintenance operations.,54,"[""192ca5e69114f7b3"", ""9d331300c9885bc1"", ""69ac92125accdab1"", ""6ba16c278e9548e8"", ""fa354ff092ecdf4e""]"
P195,Chapter 11 Volume Zeroing,"An application that enables users to zero out schedule strip volumes for counterparties during Chapter 11 bankruptcy proceedings, supporting cleanup across date ranges for settlement purposes.",68,"[""b8712f2fd897c070"", ""407bcbc3fe2082bc"", ""b7fde2f97d2cc460"", ""5ea840d548406d8c"", ""fd03e9060f8cba4b""]"
P196,Preschedule Executive Reporting,"Development and testing of a new Enpower application providing preschedule workspace, path confirmation, and executive reporting capabilities for energy trading operations.",118,"[""28807b550674fb21"", ""908dd82cf0f68f43"", ""2d4ee50a18f6a640"", ""c1eddf7f94447f9b"", ""1c53330846f1ba11""]"
P197,Frontera Energy Trading,Manage electricity trading positions and balancing bids for the Frontera plant under the Teco Services book.,54,"[""4de7504f74788811"", ""f99bc1b5dd33eedc"", ""45f16d64834a142d"", ""dd77fa848015d085"", ""74bc9f52a3f87f8b""]"
P198,EDF Loan Repayment,"Managing the repayment of a $25 million loan from EDF, coordinating the payoff deadline and addressing associated trading positions and exposures.",66,"[""72c8f8bf2fd6fb32"", ""0ff3977653f9fbb3"", ""b95e712254450d5b"", ""981ec6d5eb18e2ed"", ""76baa68d770b742a""]"
P199,Mid-C Schedule Coordination,"Managing real-time schedule changes, curtailments, and transmission path adjustments for power deliveries in the Pacific Northwest.",569,"[""897751461c42cd05"", ""2eb98447ee73645d"", ""6aa589ebd85d12c4"", ""d608002ae2a73df4"", ""4ac775dabbd9a243""]"
P200,EPMI-EES Reconciliation,The project reconciles daily sale prices and variances between EPMI and EES to ensure accurate intercompany accounting and confirmation.,113,"[""9537126518fe7447"", ""3977c5bd9bdf4921"", ""f6a76a094ab914b4"", ""5ecf75452013aa4f"", ""9269e2c21f6e4b1e""]"
P201,Prior Month Adjustments,"A process for tracking, validating, and entering prior month adjustments into monthly P&L statements in coordination with Settlements and Risk Management.",86,"[""c7cff5924435cd91"", ""309a225afec7b275"", ""81865dcf9c1fd898"", ""b07dad1eb2ae4b40"", ""b76ebf02c99ba51f""]"
P202,APB Checkout,"This project reconciles energy trades with counterparties APB, Prebon, and Mirant to ensure accurate deal assignment.",140,"[""7ccb368ab8807472"", ""fa76af1124fcf8dc"", ""28fc8285bce072fe"", ""61b6090516e1aec6"", ""75b476533a192094""]"
P203,Natsource Deal Verification,"Managing deal entry verification and reconciliation for Natsource energy trading transactions, tracking missing deals and trader identification across power contracts.",73,"[""f4266754a6da56f2"", ""fdc2ff503bbaee51"", ""8ee3b443a9875b8b"", ""7b6b12e9539aaeb3"", ""702187cfbb9b90f7""]"
P204,Deal Checkout,"The project monitors the entry and verification of electricity trading deals, reconciling buy and sell transactions for power products such as Mid-C and NP-15 between Enron and counterparties.",485,"[""6f1d6a00fe9afed5"", ""45348ce3c92dd4bf"", ""a6969c2282c0e322"", ""141f4d3370c13289"", ""d0f03ea533e906a0""]"
P205,CAISO Energy Type Correction,This project corrects energy deals with NP-15 or SP-15 delivery points to use CAISO energy instead of firm energy.,75,"[""7ed5b388855118bf"", ""23a0822df2bd3ac6"", ""bbb5f025ec05b1c7"", ""d3d7150449584034"", ""caee678a3c1a07bb""]"
P206,Deal Confirmation Tracking,"The project monitors and updates deal confirmation statuses, adding notes and contacts to ensure compliance with confirmation guidelines.",51,"[""6a0ce26803e24786"", ""464f903161e2418c"", ""08229c55d96922e4"", ""8ed3ba7b83e245ae"", ""3e80d90b035d0e67""]"
